message,type,target
"WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!",spam
"每天一个1️⃣0️⃣倍金狗 ",spam
"巨鲸社区 · 内部群 · 内幕群免费进群，进群要求替换专属的交易机器人链接：

(注：不收费，不收费，不收费
有一点小门槛筛选别有用心的人进群❗️)

https://t.me/pepeboost_soI6_bot?start=ref_gkldm

巨鲸内部群
    1.重新绑定交易bot，导入钱包。
    2.导入钱包且钱包至少有4sol。
    3.触发任意一笔交易截图待审核。
    4.截图私信助手 @jujing007 审核通过后拉你进入内部群

内部群优势：
热门土狗最早发布，发布速度领先于频道、社区。
信息的发出经过一定筛选，无pvp，群内都经过验资，互相交流同频。

巨鲸内幕群
    1.导入钱包且钱包至少有7sol
内幕群（只分享内幕消息），群里会教大家如何找寻alpha项目，如何判断一个币是否有潜力成为金狗，内幕群仅少量伙伴可以加入 @jujing007

注：加入内幕群的伙伴内部群也会拉❗️",spam
"【Sol链金狗群】每日精选，2-3个10倍以上潜力金狗项目！
加入我们，第一时间获取Solana链上最具爆发力的投资机会。每个项目都经过严格筛选，助你抓住下一个财富风口。
快速行动，超越市场，财富不等待！  ",spam
"接下来sol链有个百倍金狗，进频道第一时间了解 ",spam
"还在为找一个优质社区而烦恼吗？
这里是巨鲸社区，每天推荐的代币都是市场中的潜力巨星！ ",spam
"每日推荐2–3个10倍以上sol链金狗，顶级社区鲸鱼分享  ",spam
"还在为找一个优质社区而烦恼吗？

这里是巨鲸社区，每天推荐的代币都是市场中的潜力巨星！   ",spam
"寻找千倍alpha，顶级社区鲸鱼 ",spam
"以太坊再次拿下100點利潤，精準抄底信號，支撐壓力分析，實力吊打付費群組，點我頭像加入",spam
"在 币圈 想 赚 钱，那 你 不看这个 社 区就是 损 失，每 天免 费 策 略3-4天，吊打收 费 群 ，真 心 推 荐  ",spam
"在 币圈 想 赚 钱，那 你 不关 注 这 个 王 牌 社 区，真的太可惜了，真 心 推 荐，每 天 都 有 免 费 策 略  ",spam
"以太坊最新分析已經拿下300點利潤，精準抄底信號，支撐壓力分析，實力吊打付費群組，點我頭像加入",spam
"又爆仓了，不想玩了，这地址还有一万多UNI，随便找个有缘人拿去，助记词: gown eight swing merge labor vessel slice van panel slite sing wedding",spam
"合约是真不能玩，这次是真的死心了，决心退坑 里面还有159U谁要就提走，助记词",spam
"这是我的钱包助记词，不玩了，送给刷到的有缘人",spam
"朋友开发出了能随机碰撞助记词的工具，卖软件",spam
"昨天晚上转给兄弟们wld两倍了，跟上没？

这频道今天上午连翻倍三单，值得关注！",spam
"臥槽，這怎麼做到天天賺的，趕緊進來跟上看看，兄弟們撿錢了",spam
"
🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧🧧
🚀Click here to help me get 10 USDT cash, and you can also receive 10 USDT

🏃‍♂️💨First come, first served

👇Click to Open 10 USDT ",spam
"看好这两只狗，我给它们起了两个中文名字，一个叫美金狗USD1DOGE ，一个叫世界金融狗WLFIDOGE 美金狗合约0x945cd29a40629ada610c2f6eba3f393756aa4444 世界金融狗合约0xe76cc705e2a0cc2175726da5cfbb18cf1da64444 都是usd1板块顶级叙事meme币，性价比比较高的，增值空间巨大，有百倍，千倍空间！ $WLFI #WLFI",spam
"盗U盘 秒合约盘 商城盘专业团队部署开发私",spam,user_name
